timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
7, -0.34, 0.12, 11.55, -0.01, 0.02, 0.02
104, -0.35, 0.13, 11.55, -0.01, 0.02, 0.02
204, -0.36, 0.11, 11.52, -0.01, 0.02, 0.02
304, -0.35, 0.15, 11.55, -0.01, 0.02, 0.02
404, -0.32, 0.12, 11.54, -0.01, 0.02, 0.02
661, -0.35, 0.13, 11.55, -0.01, 0.02, 0.02
760, -0.94, -2.91, 10.58, -0.05, -0.04, 0.02
860, 0.96, 2.16, 12.01, -0.05, 0.12, 0.04
960, -1.65, -0.56, 10.95, -0.15, 0.23, 0.19
1060, 2.89, 1.94, 23.23, -0.65, 0.68, -0.08
1160, -2.38, 2.44, 10.29, 0.06, 0.06, -0.04
1260, -1.66, -1.36, 11.24, 0.39, 0.67, -0.42
1360, 0.64, 2.19, 5.52, -0.15, 0.80, -0.26
1626, 0.01, -2.31, 10.57, 0.14, -0.02, -0.01
1725, -0.40, 7.32, 11.52, 0.06, 0.18, 0.04
1825, -0.25, 3.59, 12.04, -0.11, 0.09, -0.01
1925, -1.32, 1.31, 11.62, -0.04, 0.00, 0.03
2025, -0.26, 0.98, 11.48, -0.01, 0.01, 0.02
2125, -0.29, 0.00, 11.58, -0.01, 0.02, 0.01
2225, -0.33, 0.05, 11.53, -0.01, 0.02, 0.01
