timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
2, -0.37, 0.11, 11.56, -0.01, 0.02, 0.02
14, -0.36, 0.11, 11.55, -0.01, 0.02, 0.02
105, -0.35, 0.08, 11.55, -0.01, 0.02, 0.02
205, -0.34, 0.12, 11.57, -0.01, 0.02, 0.01
305, -0.33, 0.09, 11.57, -0.01, 0.02, 0.02
405, -0.34, 0.11, 11.55, -0.01, 0.02, 0.02
661, -0.34, 0.09, 11.57, -0.01, 0.02, 0.02
760, 0.33, -1.12, 10.52, 0.01, 0.01, 0.06
860, -1.31, -0.22, 11.52, 0.03, 0.03, 0.04
960, 1.20, -2.92, 10.46, -0.10, 0.05, 0.02
1060, 1.26, -3.94, 10.51, 0.07, 0.08, 0.00
1160, 0.13, 4.07, 11.80, -0.24, -0.11, 0.00
1260, -0.74, 6.17, 11.55, -0.07, 0.02, 0.01
1360, 1.19, 3.10, 11.53, -0.14, 0.00, -0.02
1460, 0.33, -0.63, 10.19, -0.23, 0.00, 0.05
1560, -2.44, -2.61, 12.49, -0.00, 0.07, 0.02
1660, -4.84, -0.73, 16.55, -0.70, 0.79, 0.15
1760, -3.26, 0.48, 11.30, -0.52, 0.02, -0.01
1860, 0.61, 0.42, 6.91, 0.00, -0.07, 0.02
1960, 1.77, -0.41, 10.85, 0.12, -0.00, 0.08
2060, -7.94, -3.11, 13.10, -0.25, -0.67, 0.31
2160, -6.57, 1.64, 12.67, -0.89, -0.57, 0.13
2428, 0.28, 0.64, 11.25, -0.07, -0.00, 0.01
2527, 1.65, 3.91, 11.78, 0.04, -0.01, -0.01
2627, -0.52, 0.45, 12.90, 0.05, -0.06, -0.03
2727, -0.48, 0.96, 11.55, -0.01, 0.04, 0.03
2827, -0.38, 0.41, 11.57, -0.02, -0.00, 0.03
2927, -0.36, 0.19, 11.56, -0.01, 0.02, 0.02
3027, -0.35, 0.15, 11.56, -0.01, 0.02, 0.01
