timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
595, -0.01, -3.33, 10.83, -0.08, -0.15, 0.16
695, 1.12, -0.11, 11.21, -0.14, -0.16, 0.03
795, -0.57, 0.79, 11.14, 0.07, 0.08, 0.09
895, 0.38, -0.33, 12.50, 0.12, 0.03, 0.02
995, -1.82, -0.93, 11.10, -0.13, -0.06, 0.08
1095, -0.57, -3.26, 10.77, -0.17, -0.03, 0.08
1195, 5.45, -3.37, 3.42, -1.04, -0.37, 0.21
1295, 3.20, -2.09, 8.41, 0.87, -0.04, 0.13
1395, -3.49, -1.10, 14.69, 1.67, -0.70, 0.47
1495, -15.18, -2.15, 34.88, 0.92, 0.04, -0.23
1595, 0.71, -2.81, 7.76, 0.02, -0.04, 0.16
