timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
7, -0.37, 0.14, 11.55, -0.01, 0.02, 0.02
104, -0.36, 0.12, 11.54, -0.01, 0.02, 0.02
204, -0.34, 0.12, 11.57, -0.01, 0.02, 0.02
304, -0.32, 0.12, 11.54, -0.01, 0.02, 0.02
404, -0.35, 0.15, 11.54, -0.01, 0.02, 0.02
504, -0.36, 0.14, 11.53, -0.01, 0.02, 0.02
756, -0.33, 0.12, 11.54, -0.01, 0.02, 0.02
855, -0.70, -0.54, 11.36, -0.07, -0.01, 0.14
955, -0.02, -0.68, 11.02, 0.01, 0.00, 0.03
1055, -0.24, -0.55, 10.27, -0.01, 0.03, 0.04
1155, -1.16, -0.19, 13.58, -0.02, -0.05, 0.00
1255, -0.91, -0.14, 11.77, -0.00, 0.03, 0.03
1355, 0.08, -0.47, 13.44, -0.01, -0.06, -0.01
1455, 0.58, 0.18, 13.19, -0.00, 0.08, -0.06
1555, -1.52, 0.34, 10.48, -0.02, 0.06, 0.04
1655, 0.26, -0.06, 10.52, -0.03, -0.13, 0.03
1755, -0.69, 0.66, 12.43, 0.06, 0.04, 0.06
1855, -0.17, -0.15, 10.03, -0.08, -0.13, 0.00
1955, 1.68, 0.58, 10.84, -0.05, 0.35, 0.07
2055, -1.05, -0.64, 12.53, 0.17, 0.15, 0.10
2155, -0.31, 0.80, 10.25, 0.06, -0.08, 0.06
2255, 4.86, 0.34, 13.27, -0.11, -0.16, -0.24
2355, -2.48, 1.24, 11.54, -0.04, -0.13, 0.05
2455, 1.35, -2.52, 12.35, 0.22, 0.33, -0.19
2555, -1.07, 0.73, 11.59, -0.15, 0.24, 0.04
2655, -1.05, 1.31, 13.57, 0.11, -0.07, -0.06
2755, -3.50, -3.69, 8.14, -0.02, -1.55, 0.40
2855, 0.00, 0.35, 12.63, -0.06, -0.04, -0.06
2955, -0.42, 1.01, 11.49, 0.10, -0.05, -0.04
3245, -0.19, -0.28, 9.86, -0.11, -0.15, 0.01
3344, -0.33, 0.49, 11.11, -0.05, -0.01, 0.01
3444, -0.45, 1.35, 11.48, -0.01, 0.01, 0.03
3544, -0.78, 1.00, 11.89, 0.02, 0.02, 0.07
