timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
7, -0.34, 0.10, 11.54, -0.01, 0.02, 0.02
245, -0.33, 0.11, 11.55, -0.01, 0.02, 0.02
345, -1.18, -1.62, 11.27, 0.04, -0.03, 0.04
445, -1.35, -1.83, 11.64, 0.11, -0.12, 0.04
545, 0.10, -1.22, 11.43, 0.19, -0.11, -0.01
645, -0.37, -1.49, 11.57, 0.05, 0.03, -0.00
745, 1.43, -0.44, 12.02, 0.10, 0.04, -0.07
845, -1.37, -3.32, 11.15, -0.05, 0.06, -0.01
945, 0.78, -0.57, 8.46, -0.13, -0.32, 0.09
1045, -3.59, -2.76, 8.49, 1.27, -0.56, 0.05
1145, 0.53, -3.08, 12.49, -0.08, 0.07, -0.04
1245, -0.14, -0.50, 10.64, -0.49, 0.57, -0.03
1491, -2.79, -0.88, 12.50, 0.05, -0.01, 0.03
1590, 1.61, 4.47, 11.24, -0.06, 0.04, 0.02
