timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
7, -0.36, 0.11, 11.54, -0.01, 0.02, 0.02
104, -0.35, 0.12, 11.53, -0.01, 0.01, 0.02
204, -0.35, 0.12, 11.56, -0.01, 0.02, 0.02
304, -0.36, 0.13, 11.57, -0.01, 0.02, 0.02
594, -0.37, 0.12, 11.50, -0.01, 0.02, 0.02
693, -0.69, -3.35, 10.51, -0.05, -0.01, 0.05
793, 2.53, 2.14, 12.01, 0.13, 0.12, 0.02
893, 1.31, 1.44, 11.41, 0.14, 0.02, -0.02
993, 1.70, 1.89, 12.25, 0.01, -0.05, 0.04
1093, -1.55, -1.74, 10.72, -0.10, 0.11, -0.03
1193, -1.39, -3.26, 10.90, -0.00, -0.02, 0.04
1293, 5.41, 2.40, 12.59, 0.07, 0.17, -0.00
1393, -4.27, -0.86, 15.13, 0.13, 0.53, 0.17
1493, -3.70, 0.97, 18.55, 0.06, -0.02, 0.02
1593, 0.86, 0.53, 5.55, -0.40, -0.09, 0.02
1693, -9.57, -2.80, 31.71, 0.74, 0.16, 0.07
1931, -1.62, -0.23, 11.88, 0.07, -0.00, 0.02
2030, 1.38, 2.39, 9.82, 0.04, 0.14, 0.03
2130, -0.19, 0.82, 13.71, -0.03, 0.16, 0.05
2230, -1.98, 0.71, 12.13, -0.10, -0.01, 0.05
