timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
6, -0.31, 0.13, 11.54, -0.01, 0.01, 0.02
103, -0.31, 0.12, 11.54, -0.01, 0.02, 0.02
203, -0.34, 0.12, 11.52, -0.01, 0.02, 0.02
303, -0.32, 0.14, 11.54, -0.01, 0.02, 0.02
403, -0.30, 0.14, 11.51, -0.01, 0.02, 0.02
503, -0.32, 0.13, 11.53, -0.01, 0.02, 0.02
603, -0.34, 0.12, 11.51, -0.01, 0.02, 0.02
703, -0.34, 0.11, 11.52, -0.01, 0.02, 0.02
993, -0.33, 0.13, 11.52, -0.01, 0.02, 0.02
1091, 0.79, -3.49, 9.44, -0.00, 0.07, 0.06
1191, -0.85, 1.18, 10.91, -0.31, -0.12, 0.05
1291, -1.69, -2.90, 12.17, -0.24, -0.01, 0.01
1391, 1.02, -0.83, 12.40, 0.15, -0.00, 0.08
1491, 1.06, 0.83, 13.12, 0.03, 0.02, 0.00
1591, 0.09, -1.98, 11.65, 0.03, 0.11, 0.06
1691, -1.27, 5.03, 16.45, -1.13, 0.91, 0.26
1791, -1.20, -1.35, 2.75, 0.29, -0.76, 0.33
1891, 1.81, -3.00, 7.84, 0.10, 0.14, -0.01
1991, -9.00, 4.32, 19.61, 0.82, 0.91, -0.38
2311, 0.78, -0.38, 11.74, 0.13, 0.11, 0.05
2410, 2.45, 4.03, 7.22, 0.07, -0.05, 0.02
2510, -0.51, 4.42, 12.14, 0.05, 0.05, 0.08
2610, -1.75, 0.99, 11.84, -0.04, -0.04, 0.05
2710, -0.04, 1.09, 11.30, 0.02, 0.01, 0.02
2810, -0.40, 0.12, 11.31, -0.02, 0.01, 0.01
