timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, label_id
435731, 0.92, -0.71, 9.70, 0.14, 0.05, 0.15, normal
435831, 12.10, -3.58, 12.37, 0.70, 0.38, 0.12, normal
436344, 1.64, 1.39, 11.21, -0.03, 0.04, 0.04, normal
436444, -4.54, 2.49, 12.79, 0.02, 0.06, 0.07, normal
436544, 1.70, -2.49, 11.62, -0.17, -0.05, 0.09, normal
436644, 2.10, 1.75, 11.51, -0.08, 0.17, 0.10, normal
436744, -0.93, -2.87, 12.58, -0.03, 0.04, 0.07, normal
436984, 2.70, -1.51, 10.59, 0.03, 0.05, 0.12, normal
437083, 0.58, 2.22, 9.43, 0.15, 0.02, 0.09, normal
437183, -0.09, -0.11, 12.65, -0.14, 0.00, 0.03, normal
437283, 0.67, 2.25, 13.74, 0.01, 0.04, -0.00, normal
437383, 0.51, 0.94, 11.91, 0.01, 0.01, 0.03, normal
437483, 0.57, 0.39, 11.45, -0.01, 0.03, 0.01, normal
437583, 0.37, 0.22, 11.63, -0.01, 0.02, 0.02, normal
437683, 0.35, 0.15, 11.69, -0.01, 0.02, 0.02, normal
437783, 0.34, 0.15, 11.65, -0.01, 0.02, 0.02, normal
437883, 0.34, 0.14, 11.67, -0.01, 0.02, 0.01, normal
437983, 0.36, 0.14, 11.67, -0.01, 0.02, 0.01, normal
438083, 0.37, 0.15, 11.67, -0.01, 0.02, 0.01, normal
438183, 0.36, 0.14, 11.67, -0.01, 0.02, 0.02, normal
438283, 0.34, 0.13, 11.64, -0.01, 0.02, 0.01, normal
438383, 0.34, 0.13, 11.67, -0.01, 0.02, 0.01, normal
438483, 0.34, 0.11, 11.68, -0.01, 0.02, 0.02, normal
438727, 0.36, 0.14, 11.68, -0.01, 0.02, 0.02, normal
438966, 2.02, -4.06, 18.10, -0.34, -0.19, 1.63, normal
439065, 1.48, -0.58, 7.37, 0.02, -0.10, 0.08, normal
439165, 0.26, 0.64, 11.61, -0.01, 0.03, 0.02, normal
439265, 0.41, 0.26, 11.66, -0.01, 0.02, 0.01, normal
439365, 0.39, 0.17, 11.67, -0.01, 0.02, 0.01, normal
439465, 0.40, 0.12, 11.67, -0.01, 0.02, 0.01, normal
439565, 0.38, 0.13, 11.69, -0.01, 0.02, 0.02, normal
439665, 0.38, 0.08, 11.66, -0.01, 0.02, 0.02, normal
439765, 0.37, 0.11, 11.67, -0.01, 0.02, 0.01, normal
439865, 0.38, 0.13, 11.68, -0.01, 0.02, 0.02, normal
439965, 0.38, 0.12, 11.67, -0.01, 0.02, 0.01, normal
440065, 0.40, 0.11, 11.67, -0.01, 0.02, 0.02, normal
440165, 0.38, 0.11, 11.66, -0.01, 0.02, 0.02, normal
440265, 0.37, 0.11, 11.68, -0.01, 0.02, 0.01, normal
440365, 0.35, 0.11, 11.67, -0.01, 0.02, 0.02, normal
440465, 0.38, 0.12, 11.67, -0.01, 0.02, 0.01, normal
440565, 0.40, 0.12, 11.69, -0.01, 0.02, 0.02, normal
440665, 0.41, 0.14, 11.68, -0.01, 0.02, 0.02, normal
440765, 0.40, 0.12, 11.68, -0.01, 0.02, 0.01, normal
440865, 0.38, 0.11, 11.66, -0.01, 0.02, 0.02, normal
441111, 0.39, 0.12, 11.67, -0.01, 0.02, 0.01, normal
441210, -1.11, 0.09, 11.74, -0.10, -0.07, 0.95, buracoMaior
441459, -10.00, 11.53, 15.40, 0.44, 0.81, 1.33, buracoMaior
441727, 0.40, 0.00, 11.68, -0.01, 0.02, 0.02, buracoMaior
441826, 1.98, 2.18, 11.15, -0.05, 0.18, 0.91, buracoMaior
441926, 5.18, -7.88, 10.82, -0.26, -0.18, 1.42, buracoMaior
442026, -5.65, 3.44, 8.31, 0.43, 0.56, 1.54, buracoMaior
442277, -6.74, 5.12, 17.85, 0.79, 0.73, 1.04, buracoMaior
442376, -2.04, -1.57, 11.79, -0.17, -0.02, 0.28, buracoMaior
442476, 0.51, -0.62, 11.51, -0.01, 0.01, 0.03, normal
442576, 0.36, 0.05, 11.71, -0.01, 0.02, 0.02, normal
442676, 0.39, 0.08, 11.64, -0.01, 0.02, 0.02, normal
442776, 0.37, 0.10, 11.66, -0.01, 0.02, 0.01, normal
442876, 0.38, 0.09, 11.68, -0.01, 0.02, 0.02, normal
442976, 0.40, 0.12, 11.67, -0.01, 0.02, 0.02, normal
443076, 0.42, 0.10, 11.69, -0.01, 0.02, 0.01, normal
443176, 0.41, 0.09, 11.67, -0.01, 0.02, 0.02, normal
443276, 0.40, 0.09, 11.68, -0.01, 0.02, 0.02, normal
443376, 0.37, 0.08, 11.69, -0.01, 0.02, 0.02, normal
443476, 0.38, 0.10, 11.66, -0.01, 0.02, 0.02, normal
444413, -2.12, 1.28, 13.19, -0.05, 0.05, 0.06, normal
445133, 0.41, 1.09, 13.30, 0.06, 0.05, -0.00, normal
445232, 4.12, 0.12, 7.85, 0.07, 0.09, 0.10, normal
445332, 1.25, -3.99, 9.45, 0.01, -0.15, 0.05, normal
445432, 3.91, -0.07, 10.11, 0.03, 0.10, 0.05, normal
445532, -2.21, -1.48, 13.35, 0.04, 0.10, 0.07, normal
445632, -1.01, -1.90, 12.18, 0.14, 0.13, 0.10, normal
445732, -1.52, 0.21, 12.63, 0.22, -0.03, 0.05, normal
445832, 1.35, -3.63, 10.42, -0.05, 0.02, 0.04, normal
445932, -1.42, 0.16, 12.22, -0.25, 0.10, 0.09, normal
446032, -0.02, 2.42, 12.92, 0.01, -0.02, 0.12, normal
446275, 3.15, 1.74, 12.37, 0.04, 0.00, 0.05, normal
446984, 1.22, 0.92, 14.16, -0.13, 0.08, 0.06, normal
447083, 0.66, -0.50, 9.63, -0.14, 0.13, 0.10, normal
447183, -2.96, 0.42, 12.50, -0.15, 0.10, -0.00, normal
447283, 4.59, 2.04, 13.17, -0.23, 0.37, 0.10, normal
447383, -3.98, 1.05, 9.89, -0.09, -0.39, 0.16, normal
447659, -4.48, -3.53, 12.33, 0.37, -0.18, 0.21, normal
447758, -1.34, -0.36, 11.12, 0.06, 0.02, 0.09, normal
447858, 1.59, 4.58, 13.05, -0.03, 0.02, 0.02, normal
448344, 0.62, -2.55, 15.31, 0.19, -0.44, -1.18, normal
448443, 1.02, 1.03, 9.70, -0.02, -0.03, 0.02, normal
448543, 0.23, -0.25, 11.71, -0.01, 0.01, 0.02, normal
448807, 0.28, 0.07, 11.70, -0.01, 0.02, 0.02, normal
448907, 1.57, -4.21, 10.80, 0.06, -0.00, 0.06, normal
449007, 0.25, -2.39, 11.39, 0.14, 0.12, 0.07, normal
449107, -0.06, -1.63, 12.01, -0.07, -0.06, 0.04, normal
449614, 0.70, 2.33, 11.30, -0.05, -0.02, 0.06, normal
450136, 2.07, 1.45, 13.90, -0.08, 0.11, 0.04, normal
450235, -0.19, -2.29, 11.28, -0.19, 0.24, 0.11, normal
450335, -1.40, -4.26, 12.72, -0.12, -0.01, 0.02, normal
450435, -0.08, 1.20, 12.40, -0.00, 0.05, 0.04, normal
450535, 1.11, -1.65, 12.99, 0.09, 0.30, 0.01, normal
450635, -1.47, 0.68, 10.48, 0.09, -0.01, 0.11, normal
450961, -0.86, 0.24, 10.17, -0.17, 0.18, -0.05, normal
451060, 1.77, 4.06, 7.62, 0.24, -0.23, 0.42, normal
451375, 0.76, 0.78, 11.90, -0.00, 0.03, 0.04, normal
453701, 0.65, 1.05, 12.33, 0.05, 0.08, 0.03, normal
453800, 2.39, 1.76, 10.73, -0.10, 0.28, 1.28, quebramola
453900, -4.40, 2.63, 9.73, -0.01, 0.38, 1.63, quebramola
454000, 12.58, -10.38, 9.03, 0.12, -0.22, 1.40, quebramola
454100, -0.57, 1.17, 17.95, 0.67, 1.07, 1.21, quebramola
454200, -10.32, 7.95, 21.13, -0.52, 0.07, 1.64, quebramola
454300, -3.37, -2.04, 19.62, -0.71, -0.79, 1.64, quebramola
454400, 12.17, -10.54, 2.53, 0.37, -0.45, 1.52, quebramola
454500, 9.35, -6.38, 5.74, 0.86, 0.32, 1.53, quebramola
454744, 4.07, -6.85, 3.96, 0.14, -0.05, 1.86, quebramola
454843, -2.29, 0.24, 15.18, -0.03, 0.09, 0.25, quebramola
454943, 0.34, -0.08, 11.77, -0.00, 0.01, 0.02, normal
455186, 0.27, 0.06, 11.67, -0.01, 0.02, 0.02, normal
455285, 0.68, -2.86, 11.73, 0.01, -0.07, -0.03, normal
455385, -0.61, -1.25, 7.77, 0.03, 0.10, -0.00, normal
455485, -3.08, -0.42, 13.67, 0.05, 0.02, 0.04, normal
455585, -0.67, -0.23, 12.85, 0.12, 0.03, 0.07, normal
455685, 2.10, -1.03, 11.34, 0.01, -0.07, 0.02, normal
455785, 3.89, 0.39, 10.94, -0.07, 0.09, 0.04, normal
455885, -2.34, -1.07, 12.90, 0.09, -0.09, 0.06, normal
455985, 2.97, 0.41, 10.97, 0.02, 0.14, 0.05, normal
456085, 3.56, 0.26, 12.29, -0.00, -0.10, 0.02, normal
456185, 2.20, 0.33, 10.42, -0.08, -0.02, 0.08, normal
456444, 0.27, -2.12, 11.01, 0.10, 0.10, 0.04, normal
456543, -1.76, -1.41, 8.72, -0.05, -0.03, 0.11, normal
456643, -1.13, 2.63, 12.13, -0.23, 0.01, -0.03, normal
456743, 1.23, 3.21, 10.96, -0.16, 0.03, 0.05, normal
456843, -0.22, 1.03, 11.39, 0.01, 0.02, 0.03, normal
457132, 0.28, 0.27, 11.70, -0.01, 0.02, 0.02, normal
457402, -2.65, -1.59, 10.58, -0.21, -0.17, 0.05, normal
457501, 1.70, 6.09, 8.08, -0.74, 0.11, 0.39, normal
457601, 2.42, 1.36, 11.24, -0.04, 0.02, 0.01, normal
457701, 0.97, 0.67, 11.52, -0.01, -0.01, 0.04, normal
457801, 0.03, 0.78, 12.05, -0.00, 0.02, 0.01, normal
457901, 0.27, -0.25, 11.77, -0.01, 0.02, 0.02, normal
458001, 0.28, -0.03, 11.68, -0.01, 0.02, 0.02, normal
458101, 0.27, 0.05, 11.68, -0.01, 0.02, 0.01, normal
458362, 0.28, 0.03, 11.66, -0.01, 0.02, 0.02, normal
458461, 0.29, 0.01, 11.68, -0.01, 0.02, 0.02, normal
458726, 0.29, 0.03, 11.66, -0.01, 0.02, 0.01, normal
458825, 0.28, 0.00, 11.67, -0.01, 0.02, 0.02, normal
458925, 0.26, 0.00, 11.66, -0.01, 0.02, 0.02, normal
459025, 0.27, 0.02, 11.67, -0.01, 0.02, 0.02, normal
459280, 0.27, 0.01, 11.67, -0.01, 0.02, 0.02, normal
459379, 0.32, 0.01, 11.68, -0.01, 0.02, 0.02, normal
459479, 0.31, -0.01, 11.69, -0.01, 0.02, 0.02, normal
459579, 0.29, 0.02, 11.67, -0.01, 0.02, 0.02, normal
459679, 0.28, 0.03, 11.67, -0.01, 0.02, 0.02, normal
459779, 0.28, 0.01, 11.69, -0.01, 0.02, 0.02, normal
459879, 0.29, 0.01, 11.67, -0.01, 0.02, 0.02, normal
461072, 1.72, 2.58, 12.71, -0.01, 0.05, -0.03, normal
461322, 2.01, -0.47, 10.28, -0.08, 0.15, 0.02, normal
461569, 0.42, -0.95, 11.77, -0.00, 0.11, 0.01, normal
461668, -1.39, -1.08, 10.93, 0.02, 0.04, 0.08, normal
461768, 1.99, 1.15, 12.76, -0.06, -0.04, 0.05, normal
461868, -0.84, 1.32, 12.78, 0.12, -0.08, 0.05, normal
461968, -0.69, -1.55, 10.02, -0.06, -0.03, 0.04, normal
462068, -2.28, -0.65, 8.20, -0.10, 0.00, 0.01, normal
462168, 18.01, -16.53, 7.05, -0.44, -1.08, 1.46, buraco
462268, 3.96, 2.59, 19.46, -0.18, -1.07, 0.93, buraco
