timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, label_id
1660, -4.84, -0.73, 16.55, -0.70, 0.79, 0.15, buracoMaior
1760, -3.26, 0.48, 11.30, -0.52, 0.02, -0.01, buracoMaior
1860, 0.61, 0.42, 6.91, 0.00, -0.07, 0.02, buracoMaior
1960, 1.77, -0.41, 10.85, 0.12, -0.00, 0.08, buracoMaior
2060, -7.94, -3.11, 13.10, -0.25, -0.67, 0.31, buracoMaior
2160, -6.57, 1.64, 12.67, -0.89, -0.57, 0.13, buracoMaior
2428, 0.28, 0.64, 11.25, -0.07, -0.00, 0.01, buracoMaior
2527, 1.65, 3.91, 11.78, 0.04, -0.01, -0.01, buracoMaior
2627, -0.52, 0.45, 12.90, 0.05, -0.06, -0.03, buracoMaior
2727, -0.48, 0.96, 11.55, -0.01, 0.04, 0.03, normal
2827, -0.38, 0.41, 11.57, -0.02, -0.00, 0.03, normal
2927, -0.36, 0.19, 11.56, -0.01, 0.02, 0.02, normal
3027, -0.35, 0.15, 11.56, -0.01, 0.02, 0.01, normal
6, 0.21, 0.11, 11.60, -0.01, 0.02, 0.02, normal
103, 0.19, 0.09, 11.61, -0.01, 0.02, 0.02, normal
203, 0.20, 0.11, 11.60, -0.01, 0.02, 0.02, normal
303, 0.19, 0.11, 11.59, -0.01, 0.02, 0.02, normal
403, 0.20, 0.11, 11.60, -0.01, 0.02, 0.01, normal
503, 0.17, 0.09, 11.61, -0.01, 0.02, 0.02, normal
603, 0.22, 0.11, 11.60, -0.01, 0.02, 0.02, normal
703, 0.19, 0.10, 11.58, -0.01, 0.02, 0.02, normal
803, 0.21, 0.11, 11.63, -0.01, 0.02, 0.02, normal
903, 0.18, 0.10, 11.59, -0.01, 0.02, 0.02, normal
1003, 0.20, 0.10, 11.60, -0.01, 0.02, 0.02, normal
1313, 0.20, 0.11, 11.60, -0.01, 0.02, 0.02, normal
1412, -0.11, -1.13, 10.34, 0.03, -0.08, 0.07, quebramola
1512, -1.52, 0.06, 11.96, -0.12, 0.05, -0.00, quebramola
1612, 1.24, -1.69, 11.39, -0.11, 0.05, 0.02, quebramola
1712, 0.84, -1.07, 11.03, 0.02, 0.01, 0.05, quebramola
1812, 1.28, -1.08, 8.91, -0.97, -0.54, 0.26, quebramola
1912, -0.88, -4.34, 10.09, 0.79, 0.22, 0.40, quebramola
2012, -5.85, 3.95, 15.53, 1.28, -0.58, 0.80, quebramola
2289, 0.32, 2.39, 14.39, 0.08, -0.07, 0.15, quebramola
2388, -0.81, 5.57, 12.17, 0.07, 0.01, 0.07, quebramola
2488, 0.17, 2.26, 11.54, -0.23, -0.10, 0.09, quebramola
2588, 0.16, 0.42, 11.21, -0.13, 0.03, 0.03, quebramola
2688, 0.34, 1.11, 12.22, -0.04, 0.01, 0.03, quebramola
2788, 0.38, 1.17, 11.72, -0.01, 0.05, 0.04, quebramola
2888, 0.35, -0.10, 11.52, -0.01, 0.01, 0.02, quebramola
2988, 0.29, 0.13, 11.61, -0.01, 0.02, 0.02, normal
3088, 0.36, 0.10, 11.61, -0.01, 0.02, 0.02, normal
3188, 0.31, 0.12, 11.56, -0.01, 0.02, 0.02, normal
3288, 0.34, 0.14, 11.58, -0.01, 0.02, 0.02, normal
3388, 0.31, 0.12, 11.58, -0.01, 0.02, 0.02, normal
3489, 0.32, 0.14, 11.60, -0.01, 0.02, 0.02, normal
3588, 0.32, 0.12, 11.60, -0.01, 0.02, 0.02, normal
3688, 0.34, 0.13, 11.60, -0.01, 0.02, 0.02, normal
3788, 0.32, 0.13, 11.58, -0.01, 0.02, 0.02, normal
3888, 0.35, 0.12, 11.62, -0.01, 0.02, 0.02, normal
3988, 0.32, 0.10, 11.60, -0.01, 0.02, 0.02, normal
70, -0.27, 0.13, 11.54, -0.01, 0.02, 0.02, normal
132, -0.25, 0.14, 11.52, -0.01, 0.02, 0.02, normal
232, -0.26, 0.13, 11.54, -0.01, 0.02, 0.02, normal
332, -0.25, 0.14, 11.53, -0.01, 0.02, 0.02, normal
432, -0.26, 0.11, 11.54, -0.01, 0.02, 0.02, normal
532, -0.27, 0.13, 11.55, -0.01, 0.02, 0.02, normal
632, -0.26, 0.14, 11.53, -0.01, 0.02, 0.02, normal
918, -0.24, 0.12, 11.55, -0.01, 0.02, 0.02, buraco
1017, -1.39, -0.35, 12.72, -0.02, 0.00, 0.04, buraco
1117, -0.22, -1.76, 12.11, 0.09, 0.10, -0.01, buraco
1217, 1.70, -0.40, 10.88, -0.22, 0.04, 0.05, buraco
1317, 1.77, -3.95, 9.88, -0.13, 0.04, 0.02, buraco
1417, -1.74, 2.68, 15.39, -0.71, 0.83, 0.21, buraco
1517, -4.58, -1.98, 16.80, -0.62, 0.85, 0.20, buraco
1617, -1.46, -2.97, 11.06, 0.58, -0.58, -0.08, buraco
1717, 0.86, -0.67, 11.39, 0.12, 0.14, 0.13, buraco
1817, -4.50, -2.47, 13.12, -0.24, -0.28, 0.27, buraco
2088, 0.01, -1.95, 10.70, -0.05, 0.01, 0.03, buraco
2187, 0.06, 1.29, 11.93, -0.06, -0.01, 0.11, buraco
2287, -1.25, 0.81, 13.66, 0.01, 0.01, 0.13, normal
2387, -0.23, 0.89, 11.76, -0.00, 0.02, 0.02, normal
