timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
11, -0.34, 0.13, 11.51, -0.01, 0.02, 0.02
103, -0.34, 0.14, 11.51, -0.01, 0.02, 0.02
203, -0.36, 0.12, 11.52, -0.01, 0.02, 0.02
303, -0.37, 0.12, 11.54, -0.01, 0.02, 0.02
598, -0.34, 0.12, 11.53, -0.01, 0.02, 0.02
697, -1.51, -0.96, 12.39, 0.01, -0.05, 0.03
797, -0.93, -1.36, 12.24, 0.12, -0.00, 0.05
897, 0.78, -2.50, 10.44, 0.10, 0.23, -0.00
997, -3.13, -1.98, 10.36, -0.02, -0.06, 0.05
1097, -3.78, -1.65, 10.88, -0.53, 0.05, -0.06
1197, 0.21, 4.26, 9.16, -0.01, -0.11, -0.07
1529, -0.65, -3.04, 11.57, 0.05, 0.06, 0.01
1533, -0.35, -1.72, 9.00, -0.14, 0.06, 0.06
1633, 0.20, 0.18, 11.79, -0.08, 0.09, 0.08
1733, -0.03, 1.26, 10.78, -0.00, 0.04, 0.04
1833, -0.33, 0.81, 11.09, 0.02, -0.02, 0.05
