timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
6, -0.26, 0.17, 11.55, -0.01, 0.02, 0.02
103, -0.28, 0.17, 11.53, -0.01, 0.02, 0.02
203, -0.28, 0.16, 11.54, -0.01, 0.01, 0.02
303, -0.29, 0.16, 11.52, -0.01, 0.02, 0.02
612, -0.24, 0.18, 11.53, -0.01, 0.02, 0.02
711, -0.98, -0.68, 12.08, -0.03, 0.02, 0.02
811, -1.54, -0.92, 15.01, -0.11, 0.10, 0.08
911, -0.34, -1.12, 11.58, 0.13, -0.02, 0.05
1011, -1.73, -1.88, 10.68, -0.50, -0.04, 0.05
1111, 1.14, -0.81, 14.12, -0.20, -0.17, -0.03
1211, -4.34, 1.23, 13.78, -0.06, 0.09, 0.09
1311, -5.44, 0.90, 14.19, -0.06, 0.21, 0.14
1411, 0.12, 1.30, 8.52, -0.34, 0.41, 0.16
1511, 1.12, 2.82, 13.23, -0.07, -0.05, 0.01
1611, 0.39, 0.62, 9.94, -0.18, 0.08, 0.05
1711, -0.23, -3.54, 12.69, 0.12, 0.08, 0.11
1811, -0.57, 1.56, 13.56, 0.13, -0.02, 0.08
2106, 0.84, -2.23, 10.61, 0.09, 0.10, 0.08
2205, 0.36, 0.97, 11.17, -0.01, 0.00, 0.11
2305, -0.87, 1.75, 10.26, -0.03, 0.02, 0.08
