timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
70, -0.27, 0.13, 11.54, -0.01, 0.02, 0.02
132, -0.25, 0.14, 11.52, -0.01, 0.02, 0.02
232, -0.26, 0.13, 11.54, -0.01, 0.02, 0.02
332, -0.25, 0.14, 11.53, -0.01, 0.02, 0.02
432, -0.26, 0.11, 11.54, -0.01, 0.02, 0.02
532, -0.27, 0.13, 11.55, -0.01, 0.02, 0.02
632, -0.26, 0.14, 11.53, -0.01, 0.02, 0.02
918, -0.24, 0.12, 11.55, -0.01, 0.02, 0.02
1017, -1.39, -0.35, 12.72, -0.02, 0.00, 0.04
1117, -0.22, -1.76, 12.11, 0.09, 0.10, -0.01
1217, 1.70, -0.40, 10.88, -0.22, 0.04, 0.05
1317, 1.77, -3.95, 9.88, -0.13, 0.04, 0.02
1417, -1.74, 2.68, 15.39, -0.71, 0.83, 0.21
1517, -4.58, -1.98, 16.80, -0.62, 0.85, 0.20
1617, -1.46, -2.97, 11.06, 0.58, -0.58, -0.08
1717, 0.86, -0.67, 11.39, 0.12, 0.14, 0.13
1817, -4.50, -2.47, 13.12, -0.24, -0.28, 0.27
2088, 0.01, -1.95, 10.70, -0.05, 0.01, 0.03
2187, 0.06, 1.29, 11.93, -0.06, -0.01, 0.11
2287, -1.25, 0.81, 13.66, 0.01, 0.01, 0.13
2387, -0.23, 0.89, 11.76, -0.00, 0.02, 0.02
