timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
7, -0.34, 0.13, 11.55, -0.01, 0.02, 0.02
104, -0.34, 0.13, 11.52, -0.01, 0.02, 0.02
204, -0.33, 0.14, 11.53, -0.01, 0.02, 0.02
304, -0.32, 0.13, 11.51, -0.01, 0.02, 0.02
404, -0.32, 0.14, 11.54, -0.01, 0.02, 0.02
680, -0.38, 0.11, 11.55, -0.01, 0.02, 0.02
778, -0.40, -1.36, 11.26, -0.03, 0.05, -0.01
878, 0.36, -1.47, 11.44, 0.03, 0.08, 0.02
978, -0.34, -0.72, 13.18, -0.01, -0.01, 0.05
1078, -1.45, -0.35, 6.46, -0.26, 0.05, -0.05
1178, -2.42, 1.71, 8.04, -0.29, 0.16, -0.09
1278, -1.03, -2.42, 9.82, 0.21, 0.00, -0.06
1378, -1.13, 4.42, 11.50, -0.15, 0.12, 0.04
1478, 7.38, -6.24, 15.80, 0.10, 0.43, 0.05
1729, -1.51, -3.34, 12.31, -0.04, -0.01, 0.02
1828, 0.28, -0.07, 11.37, 0.09, -0.07, 0.08
1928, -1.01, 1.21, 11.09, 0.04, 0.03, 0.00
