timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
847, 0.86, -0.56, 10.83, 0.02, 0.02, -0.04
947, 1.78, 0.59, 11.20, -0.00, 0.05, -0.02
1047, 1.73, 0.82, 12.20, 0.13, 0.03, 0.00
1147, 0.10, -1.43, 10.39, -0.05, -0.12, 0.11
1247, -0.95, -1.64, 12.18, -0.10, -0.11, 0.06
1347, 0.02, -3.26, 12.11, -0.04, -0.14, 0.08
1447, 2.53, -0.38, 10.18, 0.10, 0.05, -0.01
1547, -2.46, 1.55, 13.25, -0.04, 0.10, 0.04
1647, -1.44, -2.58, 12.08, -0.04, -0.23, 0.08
1747, -2.99, -5.18, 13.28, -0.47, 0.48, 0.17
1847, -1.44, 1.83, 12.15, 0.14, -0.08, 0.07
1947, -0.76, -2.74, 9.54, 1.17, 0.08, 0.07
2047, -2.61, 2.52, 10.67, 0.16, 0.09, 0.06
2147, 3.33, 0.31, 8.44, 0.96, 0.41, 0.46
2247, 1.10, 0.82, 10.40, -0.05, 0.15, 0.00
2347, 4.55, 3.38, 8.46, -0.55, 0.14, -0.09
2447, 9.70, -5.71, 9.98, -0.14, 0.18, 0.08
2547, -4.02, -0.93, 13.72, -0.01, -0.10, 0.02
2647, 4.51, -0.15, 9.05, -0.04, 0.06, -0.01
2747, -3.19, -0.65, 13.69, -0.06, -0.03, -0.00
2847, 2.48, -0.57, 10.00, -0.01, 0.05, 0.04
