timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
571, 0.06, 0.11, 11.60, -0.01, 0.02, 0.01
670, -0.03, -0.75, 11.99, 0.02, 0.06, 0.05
770, -1.78, -0.03, 12.59, -0.04, -0.05, 0.03
870, -0.54, -0.80, 10.26, -0.03, -0.15, 0.08
970, -2.47, 0.03, 12.08, -0.06, -0.20, 0.07
1070, 2.97, 0.42, 9.08, -0.09, -0.19, -0.04
1170, -1.53, 1.55, 14.42, 0.17, 0.17, 0.02
1270, 4.77, 0.09, 9.58, 0.02, -0.01, -0.07
1370, -1.02, -0.31, 10.91, 0.00, -0.22, -0.02
1470, -3.44, 0.73, 14.77, -0.02, 0.03, 0.02
1570, -2.32, 1.15, 14.63, 0.10, 0.14, -0.01
1670, -1.65, -1.29, 6.87, -0.22, 0.32, 0.07
1770, -2.15, -0.25, 12.69, -0.28, 0.05, 0.04
1870, 3.38, -7.43, 24.19, -0.04, -0.05, -0.14
1970, -0.75, 2.53, 10.73, 0.05, 0.26, 0.14
2070, -0.59, 2.45, 11.51, 0.18, -0.00, -0.04
2170, 0.63, 4.59, 13.32, -0.17, -0.08, 0.03
2270, -1.02, 6.17, 2.08, 0.06, 0.03, 0.18
2370, -0.06, -3.41, 10.67, 0.12, -0.11, 0.08
2470, -0.19, -3.92, 11.87, -0.13, -0.06, 0.05
2570, -0.13, -2.33, 12.23, -0.17, -0.02, 0.01
2670, -2.20, 0.08, 11.98, -0.39, 0.01, 0.06
2770, -1.88, 0.75, 12.40, -0.26, 0.09, 0.01
2870, -2.23, 1.23, 12.43, -0.25, 0.10, 0.03
