timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
7, 0.37, 0.11, 11.57, -0.01, 0.02, 0.01
103, 0.40, 0.12, 11.57, -0.01, 0.02, 0.02
203, 0.36, 0.11, 11.58, -0.01, 0.02, 0.02
303, 0.40, 0.13, 11.58, -0.01, 0.02, 0.02
403, 0.35, 0.13, 11.57, -0.01, 0.02, 0.02
503, 0.37, 0.13, 11.58, -0.01, 0.02, 0.02
603, 0.38, 0.12, 11.56, -0.01, 0.02, 0.02
888, 0.38, 0.12, 11.62, -0.01, 0.02, 0.02
987, 1.95, -0.81, 11.75, -0.01, 0.06, 0.00
1087, -2.07, -1.17, 12.17, -0.05, -0.09, 0.01
1187, 1.43, 0.06, 11.03, -0.07, 0.25, 0.04
1287, -2.93, -0.50, 11.23, -0.13, -0.12, -0.00
1387, -3.82, 2.66, 13.05, 0.09, 0.05, 0.03
1487, -0.30, 5.58, 12.04, -0.01, 0.01, 0.05
1587, 0.09, 0.05, 11.90, -0.31, 0.04, 0.07
1687, 1.46, -2.46, 11.50, 0.14, -0.03, 0.07
1787, -2.36, 6.83, 15.73, -0.20, 0.00, 0.07
1887, -2.10, -0.93, 10.40, -0.25, 0.15, 0.07
1987, 4.00, 0.22, 7.85, 0.57, 0.17, 0.09
2087, 1.65, 1.77, 6.14, -0.12, -0.20, 0.15
2187, -0.62, -0.47, 12.17, 0.56, 0.37, 0.18
2287, 1.69, -2.00, 11.19, -0.17, 0.00, -0.03
2387, -10.99, -12.37, 22.83, -1.57, -0.83, 0.51
2487, -1.69, -2.57, 12.19, -0.02, -0.00, 0.00
2587, -1.32, -0.16, 12.13, -0.03, 0.04, 0.07
2687, 3.93, 1.87, 10.33, 0.05, 0.02, 0.05
2787, -0.11, -3.13, 11.23, 0.12, -0.07, 0.10
2887, -2.69, -1.02, 13.30, -0.10, 0.05, 0.01
3174, 1.80, 0.60, 10.55, 0.07, 0.07, 0.08
3273, 1.46, 3.05, 12.18, -0.10, 0.11, 0.09
3373, 2.15, 0.34, 10.82, -0.05, 0.04, 0.07
3473, 0.77, 0.79, 11.18, 0.02, -0.06, 0.02
3573, 0.62, 1.15, 11.51, 0.01, 0.04, 0.01
3673, 0.27, 0.11, 11.68, -0.01, 0.02, 0.02
3773, 0.37, 0.18, 11.57, -0.01, 0.02, 0.02
3873, 0.34, 0.09, 11.58, -0.01, 0.02, 0.02
3973, 0.36, 0.12, 11.58, -0.01, 0.02, 0.02
4073, 0.35, 0.12, 11.57, -0.01, 0.02, 0.02
4173, 0.35, 0.12, 11.58, -0.01, 0.02, 0.02
