timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
7, 0.35, 0.14, 11.56, -0.01, 0.02, 0.02
104, 0.36, 0.15, 11.57, -0.01, 0.02, 0.02
204, 0.32, 0.13, 11.57, -0.01, 0.02, 0.02
304, 0.37, 0.14, 11.57, -0.01, 0.02, 0.02
404, 0.32, 0.13, 11.55, -0.01, 0.02, 0.02
715, 0.34, 0.13, 11.60, -0.01, 0.02, 0.02
815, 0.86, 0.66, 11.49, -0.01, 0.04, -0.01
915, -0.50, -1.35, 10.51, 0.14, -0.09, 0.00
1015, -1.21, -2.40, 12.36, -0.09, 0.02, 0.04
1116, 2.25, 0.74, 10.47, 0.06, -0.01, -0.00
1215, 1.76, 0.85, 11.56, -0.01, -0.02, 0.01
1315, -1.11, 0.53, 11.91, 0.16, 0.06, 0.00
1415, 0.36, -0.03, 10.59, -0.05, -0.01, 0.02
1515, 0.62, -1.87, 11.94, -0.11, 0.09, 0.03
1615, 1.70, 1.99, 11.57, -0.00, 0.00, -0.02
1715, -0.02, 2.46, 8.83, -1.13, 0.59, 0.34
1815, 0.53, -2.54, 9.25, 0.32, 0.10, 0.15
1915, -0.84, 13.47, 28.41, 0.78, -1.15, -0.03
2015, -0.14, 3.13, 13.53, 1.47, 0.20, 0.33
2115, 1.64, 3.20, 9.18, -0.06, 0.07, 0.03
2215, 0.22, -0.00, 9.62, -1.45, -0.05, 0.14
2315, -1.64, 4.43, 11.89, -0.06, 0.04, 0.07
2415, 0.86, 1.16, 12.97, 0.13, -0.01, 0.04
2515, 1.89, -0.04, 10.01, 0.04, -0.00, 0.01
2845, -0.15, 1.82, 10.58, 0.03, 0.07, 0.07
2944, -0.46, 4.86, 11.01, -0.18, 0.17, 0.08
3044, -0.44, 2.10, 12.59, -0.09, 0.06, 0.09
3144, 0.10, 0.65, 11.16, 0.04, -0.00, 0.02
3244, 0.52, 0.87, 11.50, 0.00, 0.01, 0.02
3344, 0.32, -0.26, 11.68, -0.01, 0.02, 0.01
3444, 0.38, 0.20, 11.60, -0.01, 0.02, 0.02
