timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
28, 0.40, 0.11, 11.60, -0.01, 0.02, 0.02
115, 0.36, 0.11, 11.62, -0.01, 0.02, 0.02
215, 0.39, 0.10, 11.59, -0.01, 0.02, 0.02
315, 0.36, 0.10, 11.60, -0.01, 0.02, 0.02
647, 0.35, 0.10, 11.61, -0.01, 0.02, 0.02
746, 0.06, -0.96, 12.37, 0.04, -0.02, 0.05
846, 0.87, -2.94, 10.42, -0.03, 0.05, -0.01
946, 0.33, 2.73, 12.57, 0.02, -0.00, 0.01
1046, 0.80, 1.70, 13.01, -0.19, -0.20, 0.03
1146, -0.86, -1.65, 10.00, 0.14, 0.14, -0.02
1246, 1.68, -2.92, 9.51, -0.04, 0.13, -0.01
1346, 1.04, -1.63, 10.79, 0.06, 0.20, -0.01
1446, -2.06, 1.31, 12.77, 0.17, 0.18, 0.02
1546, -1.25, 3.94, 13.07, -0.10, -0.08, 0.08
1646, 3.10, -4.00, 7.68, -0.43, 0.01, -0.02
1746, 3.05, -0.18, 10.64, 0.40, -0.03, -0.01
1846, 1.03, 11.69, 2.14, 0.15, 0.20, 0.08
1946, 1.90, 2.67, 2.78, 0.96, -0.11, 0.05
2046, -0.74, 6.30, 13.42, 0.11, 0.06, 0.04
2146, -0.08, 5.89, 12.35, -1.22, -0.18, 0.07
2246, 1.02, -2.16, 12.87, -0.15, 0.07, 0.02
2346, -0.84, 1.52, 11.22, 0.21, 0.01, 0.00
2446, 3.34, 2.90, 9.93, -0.26, -0.08, 0.00
2546, -0.35, -2.85, 11.93, 0.13, 0.06, -0.01
2813, 0.81, 2.97, 11.44, -0.25, 0.05, 0.04
2912, -2.17, 4.73, 14.04, 0.10, -0.16, 0.03
3012, 0.57, 1.01, 10.78, 0.02, 0.09, 0.05
3112, 0.46, 1.20, 11.68, -0.02, 0.00, -0.00
3212, -0.07, 0.87, 11.94, -0.01, 0.00, 0.04
3312, 0.36, 0.20, 11.59, -0.01, 0.02, 0.02
3412, 0.36, 0.06, 11.62, -0.01, 0.02, 0.02
3512, 0.34, 0.13, 11.63, -0.01, 0.02, 0.02
3612, 0.36, 0.11, 11.58, -0.01, 0.02, 0.02
3712, 0.35, 0.11, 11.62, -0.01, 0.02, 0.02
3812, 0.37, 0.10, 11.62, -0.01, 0.02, 0.02
3912, 0.35, 0.09, 11.59, -0.01, 0.02, 0.02
