timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
6, 0.36, 0.12, 11.59, -0.01, 0.02, 0.02
103, 0.37, 0.10, 11.57, -0.01, 0.02, 0.02
203, 0.36, 0.14, 11.58, -0.01, 0.02, 0.02
304, 0.35, 0.12, 11.54, -0.01, 0.02, 0.02
541, 0.35, 0.11, 11.55, -0.01, 0.02, 0.02
640, 0.01, -1.75, 11.29, -0.09, 0.03, 0.02
740, 0.99, 0.74, 13.56, -0.03, 0.08, 0.01
840, 0.47, -1.88, 10.13, 0.17, 0.05, -0.03
940, -2.09, 1.45, 15.41, -0.08, 0.04, 0.05
1040, 1.93, 1.94, 12.12, 0.17, 0.19, 0.02
1140, 2.12, 2.21, 11.95, 0.06, 0.13, 0.07
1240, -1.77, 3.86, 11.67, -0.12, 0.02, 0.01
1340, 0.46, -3.61, 10.41, -0.04, 0.01, -0.05
1440, 4.90, -1.80, 8.64, -0.81, -0.38, 0.23
1540, 0.15, -1.92, 8.72, -0.13, 0.36, 0.14
1640, -1.71, -3.41, 11.28, 0.94, 0.22, 0.05
1740, 1.03, 0.41, 9.62, 0.15, -0.13, 0.08
1840, 3.09, -2.35, 9.34, 0.53, 0.06, 0.12
1940, 0.33, 0.96, 9.24, -0.48, -0.05, 0.00
2040, -2.63, 1.21, 10.40, 0.32, 0.20, 0.22
2140, -1.49, -1.78, 13.17, -0.05, -0.01, -0.03
2240, 0.38, 1.71, 11.76, 0.04, 0.01, 0.03
2340, 2.85, 0.70, 11.19, 0.05, -0.02, -0.01
2440, 1.44, -1.12, 10.27, -0.09, -0.04, 0.02
2540, -0.73, 0.79, 12.22, -0.08, 0.05, 0.01
2802, -0.54, 0.27, 12.80, 0.12, 0.07, 0.04
2901, -2.43, 1.14, 13.26, -0.10, -0.10, 0.15
3001, -0.28, 1.21, 11.59, -0.01, 0.03, 0.15
3101, 0.18, 1.07, 11.66, 0.02, 0.02, 0.04
3201, 0.37, 1.38, 11.69, -0.02, 0.03, 0.06
3301, 0.39, 0.03, 11.60, -0.01, 0.02, 0.02
3401, 0.37, 0.18, 11.60, -0.01, 0.02, 0.02
3501, 0.35, 0.10, 11.57, -0.01, 0.02, 0.02
3601, 0.38, 0.15, 11.57, -0.01, 0.02, 0.02
