timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
83, 0.38, 0.13, 11.60, -0.01, 0.02, 0.02
330, 0.40, 0.13, 11.60, -0.01, 0.02, 0.02
429, 0.62, -1.35, 11.28, -0.04, 0.02, 0.16
529, -0.74, -0.83, 12.08, 0.01, -0.03, 0.02
629, -0.40, -1.04, 13.29, 0.10, 0.04, 0.02
729, 0.17, -1.41, 9.80, -0.04, 0.02, 0.01
829, 0.87, -0.76, 11.59, -0.17, 0.05, 0.03
929, 0.46, -0.60, 13.23, -0.15, 0.05, 0.02
1029, 0.71, -1.21, 9.97, 0.12, 0.02, 0.01
1129, 0.53, 2.68, 14.62, 0.07, 0.01, 0.00
1229, 0.25, -1.59, 10.63, -0.03, 0.04, 0.03
1329, -0.82, 1.24, 13.52, 0.09, -0.02, 0.07
1429, 0.73, -0.74, 10.64, 0.01, 0.02, 0.06
1529, 0.52, 2.52, 13.48, -0.04, 0.07, 0.01
1629, 6.55, 7.80, 14.13, -0.61, 0.74, 0.02
1729, 1.20, -2.15, 10.32, -0.38, -0.13, 0.07
1829, 0.18, -0.44, 11.47, -0.28, -0.11, 0.04
1929, 0.29, -1.87, 9.11, 0.13, -0.00, 0.03
2029, 1.47, -2.96, 10.23, 1.02, 0.19, -0.05
2129, 1.85, -1.83, 7.66, 0.21, -0.04, 0.09
2229, 0.23, 2.06, 8.65, 0.80, -0.18, -0.12
2329, 0.59, 0.67, 12.06, 0.35, -0.01, 0.08
2429, 0.68, 1.68, 9.74, -0.11, -0.01, 0.06
2529, -0.18, -0.95, 12.42, -0.78, -0.16, 0.07
2629, -1.99, 0.60, 9.63, 0.17, -0.23, -0.07
2729, -1.38, 2.36, 11.66, 0.03, 0.03, -0.02
2829, 1.19, -1.79, 10.45, 0.06, 0.07, 0.10
2929, 1.23, -0.64, 12.75, -0.14, 0.05, 0.07
3029, 0.31, 1.69, 12.34, 0.08, -0.01, 0.02
3129, -0.80, -0.94, 11.65, 0.08, 0.04, -0.00
3457, 0.50, 0.01, 10.57, 0.11, 0.02, 0.01
3556, 1.89, -0.14, 10.81, -0.08, -0.01, 0.02
3656, 1.08, 1.17, 11.28, -0.02, 0.01, -0.00
3756, 0.67, 1.04, 11.70, 0.01, 0.02, 0.00
3856, 0.35, 0.24, 11.61, -0.01, 0.02, 0.01
3956, 0.38, 0.08, 11.60, -0.01, 0.02, 0.02
