timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
36, 0.34, 0.12, 11.58, -0.01, 0.02, 0.02
103, 0.38, 0.12, 11.59, -0.01, 0.02, 0.02
395, 0.35, 0.12, 11.55, -0.01, 0.02, 0.02
494, 0.85, -0.86, 11.27, 0.01, 0.04, 0.08
594, 0.48, -0.91, 11.50, -0.05, 0.02, 0.02
694, -0.65, -0.37, 12.28, 0.03, 0.05, -0.01
794, 0.57, 1.58, 12.85, -0.16, -0.05, 0.02
894, 2.07, -0.72, 10.59, 0.16, 0.07, 0.08
994, 0.10, -2.27, 12.66, -0.12, -0.06, 0.11
1094, -0.44, 2.83, 12.73, -0.18, 0.10, 0.07
1194, 0.90, 2.80, 12.05, -0.03, 0.06, 0.04
1294, 1.85, 3.00, 10.36, 0.01, 0.03, 0.05
1394, -0.63, -3.89, 12.88, -0.94, 0.52, -0.00
1494, 0.16, -0.77, 11.78, -0.10, 0.11, 0.14
1594, -0.33, -1.81, 10.88, 0.37, 0.09, -0.01
1694, 13.58, 7.59, 18.90, 0.08, -0.85, -0.09
1794, -0.49, -1.54, 10.94, 0.16, 0.21, 0.06
1894, 2.02, 0.98, 12.01, 0.37, 0.26, -0.02
1994, -0.77, 2.06, 11.58, 0.02, -0.11, -0.03
2094, 0.74, 0.79, 11.48, -0.72, 0.15, 0.12
2194, 3.81, -7.45, 10.42, 0.01, 0.32, 0.05
2294, -2.09, -1.05, 12.56, 0.02, -0.11, 0.01
2394, -1.55, -1.05, 12.67, 0.06, -0.13, -0.03
2494, -1.28, 0.53, 11.66, 0.10, -0.27, 0.03
2594, 3.79, 2.15, 9.74, -0.01, -0.13, 0.02
2694, 2.88, -0.42, 10.11, 0.01, 0.16, 0.03
2794, 1.61, 1.20, 10.01, -0.02, 0.18, 0.02
3124, -2.36, -1.21, 13.14, 0.06, -0.21, -0.02
3223, 0.89, -0.17, 12.65, -0.02, 0.08, 0.09
3323, 0.76, 0.72, 11.20, 0.01, 0.09, 0.02
3423, 0.21, 0.89, 11.52, 0.01, 0.02, 0.02
3523, 0.30, -0.21, 11.35, -0.01, 0.01, 0.01
